openapi_history_id,openapi_master_id,execute_date,execute_time,total,succeeded,failed,inserted,queried,runtime,yyyymmdd
101,1,20190429,0815,1077,1077,0,2019-04-29 08:15:46,2019-05-04 10:51:00,2019-05-04 10:51:31.8,20190429
102,1,20190429,0925,1077,1077,0,2019-04-29 09:25:35,2019-05-04 10:51:00,2019-05-04 10:51:31.832,20190429
103,1,20190429,0926,1077,1077,0,2019-04-29 09:26:29,2019-05-04 10:51:00,2019-05-04 10:51:31.832,20190429
104,1,20190429,0927,1077,1077,0,2019-04-29 09:27:33,2019-05-04 10:51:00,2019-05-04 10:51:31.833,20190429
105,1,20190429,0928,1077,1077,0,2019-04-29 09:28:30,2019-05-04 10:51:00,2019-05-04 10:51:31.834,20190429
106,1,20190429,0929,1077,1077,0,2019-04-29 09:29:28,2019-05-04 10:51:00,2019-05-04 10:51:31.834,20190429
107,1,20190429,0930,1077,1077,0,2019-04-29 09:30:29,2019-05-04 10:51:00,2019-05-04 10:51:31.835,20190429
108,1,20190429,0931,1077,1077,0,2019-04-29 09:31:29,2019-05-04 10:51:00,2019-05-04 10:51:31.835,20190429
109,1,20190429,0932,1077,1077,0,2019-04-29 09:32:28,2019-05-04 10:51:00,2019-05-04 10:51:31.835,20190429
110,1,20190429,0933,1077,1077,0,2019-04-29 09:33:33,2019-05-04 10:51:00,2019-05-04 10:51:31.836,20190429
111,1,20190429,0934,1077,1077,0,2019-04-29 09:34:27,2019-05-04 10:51:00,2019-05-04 10:51:31.836,20190429
112,1,20190429,0935,1077,1077,0,2019-04-29 09:35:32,2019-05-04 10:51:00,2019-05-04 10:51:31.837,20190429
113,1,20190429,0936,1077,1077,0,2019-04-29 09:36:26,2019-05-04 10:51:00,2019-05-04 10:51:31.838,20190429
114,1,20190429,0937,1077,1077,0,2019-04-29 09:37:27,2019-05-04 10:51:00,2019-05-04 10:51:31.838,20190429
115,1,20190429,0938,1077,1077,0,2019-04-29 09:38:27,2019-05-04 10:51:00,2019-05-04 10:51:31.839,20190429
116,1,20190429,0939,1077,1077,0,2019-04-29 09:39:34,2019-05-04 10:51:00,2019-05-04 10:51:31.839,20190429
117,1,20190429,0940,1077,1077,0,2019-04-29 09:41:11,2019-05-04 10:51:00,2019-05-04 10:51:31.84,20190429
118,1,20190429,0942,1077,1077,0,2019-04-29 09:42:27,2019-05-04 10:51:00,2019-05-04 10:51:31.84,20190429
119,1,20190429,0943,1077,1077,0,2019-04-29 09:43:28,2019-05-04 10:51:00,2019-05-04 10:51:31.84,20190429
